D1	1.08	1.12	1.12	1.12	1.12	1.13	1.14	1.14	1.13	1.13	1.13	1.14	1.13	1.13	1.16	1.16	1.2	1.24	1.33	1.52	1.85	2.52	3.73	5.8	8.9	12.66	16.18	18.87	20.9	22.39	23.53	24.53	25.28	25.89	26.48	26.95	27.31	27.63	27.93	28.17	28.3	28.51	28.69	28.86	28.99	29.07	29.17	29.3	29.33	29.42
C2	0.7	0.74	0.74	0.74	0.75	0.75	0.74	0.75	0.75	0.75	0.76	0.75	0.75	0.76	0.78	0.78	0.81	0.87	0.98	1.19	1.62	2.39	3.86	6.35	10.05	14.34	17.75	19.88	21.19	22.18	22.84	23.43	23.86	24.32	24.69	24.98	25.13	25.41	25.62	25.78	25.87	26.04	26.17	26.27	26.36	26.49	26.57	26.63	26.66	26.72
D2	0.72	0.77	0.77	0.77	0.76	0.78	0.77	0.77	0.77	0.78	0.78	0.78	0.78	0.78	0.79	0.81	0.83	0.9	1	1.23	1.64	2.47	3.97	6.53	10.27	14.58	17.91	19.96	21.36	22.25	22.94	23.58	24.02	24.5	24.71	25.06	25.34	25.57	25.77	25.95	26.07	26.21	26.32	26.43	26.53	26.59	26.66	26.81	26.86	26.89
C3	0.78	0.8	0.8	0.82	0.8	0.81	0.82	0.81	0.82	0.82	0.81	0.83	0.82	0.83	0.83	0.83	0.86	0.87	0.92	1.02	1.17	1.5	2.11	3.27	5.2	8.17	11.59	14.52	16.31	17.5	18.35	18.92	19.45	19.85	20.18	20.48	20.76	20.95	21.15	21.29	21.46	21.54	21.67	21.78	21.83	21.91	21.94	22	22.05	22.17
D3	0.8	0.84	0.84	0.85	0.85	0.87	0.86	0.87	0.86	0.86	0.86	0.86	0.87	0.88	0.88	0.89	0.9	0.91	0.96	1.02	1.17	1.43	1.93	2.89	4.6	7.27	10.78	14.15	16.38	17.89	18.87	19.63	20.21	20.67	21.03	21.39	21.67	21.92	22.08	22.31	22.5	22.64	22.82	22.83	22.94	23.06	23.14	23.25	23.26	23.31
C4	1.05	1.09	1.1	1.1	1.1	1.11	1.11	1.11	1.1	1.12	1.12	1.14	1.12	1.14	1.14	1.16	1.23	1.32	1.5	1.87	2.58	3.91	6.2	9.81	14.47	18.8	21.88	23.86	25.25	26.41	27.18	27.87	28.46	28.91	29.28	29.59	29.91	30.17	30.45	30.63	30.75	30.89	31.11	31.17	31.31	31.38	31.5	31.62	31.64	31.79
D4	1.19	1.23	1.24	1.24	1.25	1.24	1.24	1.25	1.24	1.25	1.25	1.26	1.27	1.27	1.28	1.32	1.38	1.48	1.72	2.16	3	4.59	7.3	11.41	16.52	21.18	24.37	26.36	27.88	29.07	30.02	30.62	31.21	31.82	32.19	32.58	32.89	33.19	33.46	33.62	33.79	33.93	34.1	34.27	34.41	34.48	34.65	34.67	34.67	34.77
C5	1.03	1.07	1.07	1.08	1.07	1.06	1.07	1.09	1.08	1.08	1.09	1.09	1.09	1.09	1.12	1.12	1.15	1.21	1.3	1.52	1.9	2.67	4.05	6.41	10.06	14.51	18.38	21.01	22.69	23.95	24.89	25.61	26.18	26.68	27.09	27.43	27.77	28.02	28.19	28.42	28.54	28.81	28.9	28.94	29.08	29.22	29.3	29.38	29.37	29.5
D5	1.12	1.15	1.14	1.15	1.17	1.15	1.15	1.17	1.16	1.19	1.17	1.18	1.18	1.18	1.21	1.21	1.26	1.3	1.43	1.69	2.16	3.07	4.75	7.62	11.9	17.08	21.4	24.28	26.11	27.46	28.44	29.2	29.85	30.39	30.91	31.28	31.49	31.81	32.05	32.34	32.44	32.61	32.82	32.88	33.04	33.11	33.26	33.34	33.36	33.53
C6	1.03	1.06	1.06	1.07	1.06	1.06	1.06	1.08	1.06	1.07	1.08	1.08	1.08	1.1	1.11	1.11	1.17	1.26	1.43	1.75	2.38	3.58	5.62	8.9	13.01	16.87	19.47	21.11	22.19	23.04	23.7	24.19	24.67	25.06	25.34	25.69	25.87	26.1	26.23	26.38	26.52	26.68	26.81	26.93	26.97	27.07	27.13	27.21	27.23	27.25
D6	1.12	1.14	1.15	1.17	1.17	1.16	1.16	1.16	1.17	1.17	1.17	1.17	1.18	1.2	1.2	1.25	1.31	1.42	1.65	2.12	2.99	4.6	7.3	11.22	15.74	19.3	21.63	23.03	24	24.81	25.41	25.93	26.31	26.65	27.04	27.28	27.44	27.66	27.78	27.96	28.07	28.23	28.37	28.41	28.49	28.58	28.64	28.72	28.72	28.77
E1	0.75	0.79	0.79	0.81	0.8	0.81	0.81	0.82	0.81	0.8	0.81	0.81	0.82	0.84	0.82	0.82	0.83	0.84	0.84	0.84	0.84	0.86	0.88	0.92	0.99	1.13	1.36	1.84	2.67	4.18	6.72	10.49	15.5	20.73	25.37	28.97	31.85	34.19	35.93	37.27	38.42	39.3	39.95	40.64	41.01	41.51	41.81	42.08	42.31	42.52
F1	0.76	0.78	0.78	0.79	0.8	0.8	0.8	0.79	0.81	0.8	0.81	0.8	0.8	0.81	0.81	0.81	0.82	0.82	0.82	0.83	0.82	0.83	0.86	0.88	0.92	1.01	1.19	1.52	2.1	3.17	4.99	7.95	12.12	17.11	21.82	25.63	28.73	31	32.88	34.33	35.48	36.36	37.14	37.74	38.21	38.56	38.92	39.23	39.41	39.65
E2	0.84	0.85	0.86	0.86	0.86	0.87	0.88	0.88	0.88	0.87	0.88	0.88	0.88	0.89	0.9	0.88	0.89	0.89	0.91	0.89	0.92	0.96	1	1.09	1.26	1.58	2.17	3.24	5.06	8.07	12.4	17.61	22.71	26.97	30.21	32.85	34.86	36.41	37.64	38.62	39.41	40.09	40.63	40.97	41.37	41.75	42.07	42.21	42.4	42.55
F2	0.63	0.65	0.66	0.67	0.67	0.67	0.66	0.76	0.75	0.77	0.76	0.76	0.75	0.76	0.77	0.77	0.78	0.78	0.78	0.79	0.8	0.83	0.87	0.94	1.12	1.39	1.92	2.89	4.6	7.37	11.29	16.18	20.86	24.74	27.76	30.06	31.96	33.38	34.48	35.39	36.13	36.71	37.2	37.57	38	38.21	38.52	38.66	38.85	39.01
E3	0.48	0.49	0.5	0.5	0.5	0.51	0.51	0.51	0.52	0.52	0.52	0.53	0.53	0.53	0.52	0.54	0.53	0.54	0.54	0.54	0.56	0.55	0.58	0.62	0.7	0.86	1.12	1.61	2.46	3.97	6.22	9.17	12.27	14.97	17.08	18.73	20	21.02	21.83	22.47	22.98	23.42	23.82	24.12	24.4	24.61	24.78	24.98	25.14	25.26
F3	0.56	0.58	0.57	0.59	0.58	0.58	0.6	0.59	0.6	0.59	0.6	0.6	0.6	0.61	0.61	0.61	0.61	0.62	0.62	0.62	0.63	0.65	0.67	0.72	0.8	0.95	1.26	1.79	2.79	4.47	7.12	10.62	14.52	17.94	20.61	22.68	24.3	25.59	26.48	27.2	27.83	28.33	28.79	29.06	29.35	29.55	29.85	30	30.11	30.32
E4	0.53	0.55	0.55	0.55	0.56	0.56	0.57	0.57	0.57	0.57	0.58	0.57	0.57	0.58	0.58	0.58	0.59	0.59	0.59	0.61	0.62	0.65	0.7	0.81	1.03	1.41	2.08	3.28	5.2	8.04	11.33	14.61	17.27	19.44	21.12	22.43	23.43	24.3	24.97	25.52	26.04	26.42	26.77	27.09	27.3	27.58	27.79	27.92	28.07	28.24
F4	0.69	0.72	0.71	0.73	0.73	0.74	0.74	0.73	0.73	0.74	0.73	0.75	0.73	0.74	0.75	0.74	0.75	0.76	0.74	0.78	0.79	0.83	0.9	1.04	1.29	1.77	2.59	4.06	6.42	9.73	13.69	17.43	20.5	22.94	24.89	26.39	27.49	28.4	29.14	29.7	30.28	30.64	30.99	31.26	31.58	31.75	31.95	32.05	32.2	32.31
E5	0.81	0.83	0.84	0.84	0.85	0.84	0.85	0.86	0.85	0.85	0.86	0.87	0.85	0.86	0.87	0.86	0.87	0.88	0.88	0.89	0.9	0.92	0.94	1.02	1.14	1.38	1.78	2.54	3.88	6.11	9.45	13.89	18.5	22.5	25.74	28.27	30.18	31.72	32.94	33.83	34.63	35.27	35.83	36.22	36.61	36.81	37.15	37.29	37.5	37.64
F5	0.97	1	1.02	1.02	1.04	1.01	1.05	1.04	1.03	1.05	1.05	1.05	1.04	1.05	1.04	1.05	1.06	1.05	1.06	1.06	1.07	1.09	1.13	1.19	1.3	1.5	1.92	2.62	3.87	6.02	9.25	13.51	17.97	21.97	24.96	27.43	29.39	30.77	31.9	32.83	33.58	34.15	34.68	35.02	35.43	35.66	35.87	36.1	36.21	36.41
E6	1.01	1.05	1.04	1.05	1.04	1.06	1.04	1.06	1.05	1.07	1.06	1.05	1.06	1.07	1.05	1.06	1.07	1.07	1.09	1.11	1.14	1.18	1.29	1.52	1.89	2.57	3.79	5.83	8.86	12.86	17.17	21.04	24.3	26.98	29.06	30.77	32.07	33.21	34.13	34.82	35.49	36.01	36.52	36.79	37.19	37.48	37.65	37.89	38.03	38.24
F6	0.95	0.98	0.98	0.97	0.99	1	0.99	1	1.01	0.98	0.99	1	1	1	1	0.99	1.01	1.03	1.02	1.04	1.09	1.16	1.32	1.61	2.15	3.08	4.8	7.59	11.67	16.81	21.99	26.35	29.75	32.48	34.6	36.26	37.45	38.5	39.39	39.95	40.54	40.97	41.32	41.63	41.89	42.12	42.31	42.41	42.53	42.67
G1	0.83	0.88	0.88	0.89	0.89	0.89	0.88	0.9	0.89	0.88	0.9	0.89	0.9	0.89	0.9	0.91	0.91	0.91	0.91	0.92	0.94	0.96	0.99	1.09	1.23	1.51	2.01	2.96	4.57	7.22	11	15.73	20.28	23.98	26.75	29.06	30.72	32.08	33.12	33.95	34.67	35.17	35.62	36.08	36.41	36.65	36.37	36.52	36.74	36.85
H1	0.8	0.83	0.84	0.85	0.85	0.85	0.85	0.86	0.84	0.85	0.85	0.85	0.86	0.86	0.86	0.86	0.87	0.86	0.87	0.88	0.89	0.92	0.97	1.08	1.26	1.59	2.21	3.34	5.26	8.23	12.36	17.04	21.3	24.81	27.64	29.83	31.57	32.93	34.04	34.87	35.6	36.2	36.69	37.04	37.38	37.66	37.91	38.07	38.3	38.44
G2	0.83	0.85	0.86	0.86	0.85	0.87	0.87	0.87	0.87	0.86	0.87	0.86	0.87	0.87	0.86	0.88	0.88	0.88	0.88	0.89	0.91	0.93	0.97	1.06	1.21	1.49	2.01	2.97	4.61	7.3	11.19	16.04	20.78	24.68	27.74	30.08	31.94	33.38	34.49	35.39	36.08	36.74	37.24	37.59	37.98	38.18	38.36	38.65	38.73	38.88
H2	0.82	0.86	0.86	0.87	0.86	0.87	0.87	0.88	0.87	0.88	0.88	0.88	0.88	0.88	0.88	0.89	0.89	0.89	0.89	0.9	0.92	0.94	0.99	1.05	1.2	1.45	1.95	2.85	4.43	7.09	11.14	16.44	21.97	26.6	30.29	33.11	35.21	36.88	38.21	39.19	40.08	40.7	41.28	41.72	42.14	42.45	42.72	42.92	43.08	43.23
G3	0.58	0.59	0.6	0.59	0.6	0.6	0.6	0.6	0.61	0.59	0.6	0.61	0.61	0.61	0.61	0.61	0.62	0.62	0.62	0.63	0.64	0.66	0.69	0.75	0.87	1.1	1.53	2.28	3.63	5.81	8.98	12.78	16.4	19.33	21.45	23.11	24.39	25.36	26.05	26.64	27.15	27.47	27.84	28.14	28.32	28.46	28.63	28.77	28.86	28.99
H3	0.58	0.59	0.6	0.61	0.61	0.62	0.6	0.62	0.62	0.63	0.62	0.62	0.63	0.64	0.63	0.64	0.64	0.65	0.65	0.66	0.68	0.72	0.76	0.85	1.04	1.38	1.98	3.1	4.93	7.7	11.29	15.07	18.16	20.63	22.45	23.86	24.97	25.83	26.51	29.46	29.98	30.29	30.59	30.83	31.06	31.18	31.31	31.38	31.47	31.53
